"Country or Area","Year","Sex","Coverage","Source","SourceID","Type","Value","Value Footnotes"
"Colombia","2001","Rates, women","Total coverage","Labour force survey","# 0","Unemployed","19.1","1,2"
"Colombia","2000","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","1526.008","3"
"Colombia","2000","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","1209.081","3"
"Colombia","2000","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","316.927","3"
"Colombia","2000","Men","Total coverage","Labour force survey","# 2","First job seekers","132.548","3"
"Colombia","2000","Men","Total coverage","Labour force survey","# 2","Previously employed","527.644","3"
"Colombia","2000","Men","Total coverage","Labour force survey","# 2","Unemployed","660.192","3"
"Colombia","2000","Women","Total coverage","Labour force survey","# 2","Unemployed","865.816","3"
"Colombia","2000","Women","Total coverage","Labour force survey","# 2","Previously employed","681.437","3"
"Colombia","2000","Women","Total coverage","Labour force survey","# 2","First job seekers","184.379","3"
"Colombia","2000","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","20.5","3"
"Colombia","2000","Rates, men","Total coverage","Labour force survey","# 2","Unemployed","16.9","3"
"Colombia","2000","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","24.5","3"
"Colombia","1999","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","1415.438","3"
"Colombia","1999","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","1165.421","3"
"Colombia","1999","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","250.017","3"
"Colombia","1999","Men","Total coverage","Labour force survey","# 2","First job seekers","100.994","3"
"Colombia","1999","Men","Total coverage","Labour force survey","# 2","Previously employed","548.845","3"
"Colombia","1999","Men","Total coverage","Labour force survey","# 2","Unemployed","649.839","3"
"Colombia","1999","Women","Total coverage","Labour force survey","# 2","Unemployed","765.599","3"
"Colombia","1999","Women","Total coverage","Labour force survey","# 2","Previously employed","616.576","3"
"Colombia","1999","Women","Total coverage","Labour force survey","# 2","First job seekers","149.023","3"
"Colombia","1999","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","20.1","3"
"Colombia","1999","Rates, men","Total coverage","Labour force survey","# 2","Unemployed","17.2","3"
"Colombia","1999","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","23.3","3"
"Colombia","1998","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","998.287","3"
"Colombia","1998","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","816.438","3"
"Colombia","1998","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","181.849","3"
"Colombia","1998","Men","Total coverage","Labour force survey","# 2","First job seekers","71.716","3"
"Colombia","1998","Men","Total coverage","Labour force survey","# 2","Previously employed","385.493","3"
"Colombia","1998","Men","Total coverage","Labour force survey","# 2","Unemployed","457.209","3"
"Colombia","1998","Women","Total coverage","Labour force survey","# 2","Unemployed","541.078","3"
"Colombia","1998","Women","Total coverage","Labour force survey","# 2","Previously employed","430.945","3"
"Colombia","1998","Women","Total coverage","Labour force survey","# 2","First job seekers","110.133","3"
"Colombia","1998","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","15","3"
"Colombia","1998","Rates, men","Total coverage","Labour force survey","# 2","Unemployed","12.5","3"
"Colombia","1998","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","18","3"
"Colombia","1997","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","782.07","3"
"Colombia","1997","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","616.387","3"
"Colombia","1997","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","165.683","3"
"Colombia","1997","Men","Total coverage","Labour force survey","# 2","First job seekers","58.72","3"
"Colombia","1997","Men","Total coverage","Labour force survey","# 2","Previously employed","294.758","3"
"Colombia","1997","Men","Total coverage","Labour force survey","# 2","Unemployed","353.478","3"
"Colombia","1997","Women","Total coverage","Labour force survey","# 2","Unemployed","428.592","3"
"Colombia","1997","Women","Total coverage","Labour force survey","# 2","Previously employed","321.629","3"
"Colombia","1997","Women","Total coverage","Labour force survey","# 2","First job seekers","106.963","3"
"Colombia","1997","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","12.1","3"
"Colombia","1997","Rates, men","Total coverage","Labour force survey","# 2","Unemployed","9.8","3"
"Colombia","1997","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","15.1","3"
"Colombia","1996","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","735.184","3"
"Colombia","1996","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","584.48","3"
"Colombia","1996","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","150.704","3"
"Colombia","1996","Men","Total coverage","Labour force survey","# 2","First job seekers","60.191","3"
"Colombia","1996","Men","Total coverage","Labour force survey","# 2","Previously employed","276.063","3"
"Colombia","1996","Men","Total coverage","Labour force survey","# 2","Unemployed","336.254","3"
"Colombia","1996","Women","Total coverage","Labour force survey","# 2","Unemployed","398.93","3"
"Colombia","1996","Women","Total coverage","Labour force survey","# 2","Previously employed","308.417","3"
"Colombia","1996","Women","Total coverage","Labour force survey","# 2","First job seekers","90.513","3"
"Colombia","1996","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","12","3"
"Colombia","1996","Rates, men","Total coverage","Labour force survey","# 2","Unemployed","9.6","3"
"Colombia","1996","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","15.1","3"
"Colombia","1995","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","521.925","3"
"Colombia","1995","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","394.374","3"
"Colombia","1995","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","127.551","3"
"Colombia","1995","Men","Total coverage","Labour force survey","# 2","First job seekers","49.412","3"
"Colombia","1995","Men","Total coverage","Labour force survey","# 2","Previously employed","180.829","3"
"Colombia","1995","Men","Total coverage","Labour force survey","# 2","Unemployed","230.241","3"
"Colombia","1995","Women","Total coverage","Labour force survey","# 2","Unemployed","291.684","3"
"Colombia","1995","Women","Total coverage","Labour force survey","# 2","Previously employed","213.545","3"
"Colombia","1995","Women","Total coverage","Labour force survey","# 2","First job seekers","78.139","3"
"Colombia","1995","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","8.7","3"
"Colombia","1995","Rates, men","Total coverage","Labour force survey","# 2","Unemployed","6.8","3"
"Colombia","1995","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","11.3","3"
"Colombia","1994","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","442.286","3"
"Colombia","1994","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","311.869","3"
"Colombia","1994","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","130.417","3"
"Colombia","1994","Men","Total coverage","Labour force survey","# 2","First job seekers","45.146","3"
"Colombia","1994","Men","Total coverage","Labour force survey","# 2","Previously employed","118.168","3"
"Colombia","1994","Men","Total coverage","Labour force survey","# 2","Unemployed","163.314","3"
"Colombia","1994","Women","Total coverage","Labour force survey","# 2","Unemployed","278.972","3"
"Colombia","1994","Women","Total coverage","Labour force survey","# 2","Previously employed","193.701","3"
"Colombia","1994","Women","Total coverage","Labour force survey","# 2","First job seekers","85.271","3"
"Colombia","1994","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","7.6","3"
"Colombia","1994","Rates, men","Total coverage","Labour force survey","# 2","Unemployed","4.9","3"
"Colombia","1994","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","11.2","3"
"Colombia","1993","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","447.048","3"
"Colombia","1993","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","333.504","3"
"Colombia","1993","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","113.544","3"
"Colombia","1993","Men","Total coverage","Labour force survey","# 2","First job seekers","40.959","3"
"Colombia","1993","Men","Total coverage","Labour force survey","# 2","Previously employed","133.024","3"
"Colombia","1993","Men","Total coverage","Labour force survey","# 2","Unemployed","173.983","3"
"Colombia","1993","Women","Total coverage","Labour force survey","# 2","Unemployed","273.065","3"
"Colombia","1993","Women","Total coverage","Labour force survey","# 2","Previously employed","200.48","3"
"Colombia","1993","Women","Total coverage","Labour force survey","# 2","First job seekers","72.585","3"
"Colombia","1993","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","7.8","3"
"Colombia","1993","Rates, men","Total coverage","Labour force survey","# 2","Unemployed","5.3","3"
"Colombia","1993","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","11","3"
"Colombia","1992","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","505.344","3"
"Colombia","1992","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","370.788","3"
"Colombia","1992","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","134.556","3"
"Colombia","1992","Men","Total coverage","Labour force survey","# 2","First job seekers","44.657","3"
"Colombia","1992","Men","Total coverage","Labour force survey","# 2","Previously employed","159.371","3"
"Colombia","1992","Men","Total coverage","Labour force survey","# 2","Unemployed","204.028","3"
"Colombia","1992","Women","Total coverage","Labour force survey","# 2","Unemployed","301.316","3"
"Colombia","1992","Women","Total coverage","Labour force survey","# 2","Previously employed","211.417","3"
"Colombia","1992","Women","Total coverage","Labour force survey","# 2","First job seekers","89.899","3"
"Colombia","1992","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","9.2","3"
"Colombia","1992","Rates, men","Total coverage","Labour force survey","# 2","Unemployed","6.5","3"
"Colombia","1992","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","12.6","3"
"Colombia","1991","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","522.041","3,5"
"Colombia","1991","Men","Total coverage","Labour force survey","# 2","Unemployed","225.915","3,5"
"Colombia","1991","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","296.126","3,5"
"Colombia","1991","Women","Total coverage","Labour force survey","# 2","Unemployed","296.126","3,5"
"Colombia","1991","Women","Total coverage","Labour force survey","# 2","First job seekers","145.915","3,5"
"Colombia","1991","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","9.8","3,5"
"Colombia","1991","Rates, men","Total coverage","Labour force survey","# 2","Unemployed","7.4","3,5"
"Colombia","1991","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","13.1","3,5"
"Colombia","1991","Men","Total coverage","Labour force survey","# 2","First job seekers","165.915","3,5"
"Colombia","1991","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","13.1","3,5"
"Colombia","1991","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","366.128","3"
"Colombia","1991","Men","Total coverage","Labour force survey","# 2","Previously employed","166.259","3"
"Colombia","1991","Women","Total coverage","Labour force survey","# 2","Previously employed","179.869","3"
"Colombia","1990","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","491.607","3"
"Colombia","1990","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","115.479","3"
"Colombia","1990","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","376.128","3"
"Colombia","1990","Men","Total coverage","Labour force survey","# 2","Previously employed","186.259","3"
"Colombia","1990","Men","Total coverage","Labour force survey","# 2","First job seekers","46.56","3"
"Colombia","1990","Men","Total coverage","Labour force survey","# 2","Unemployed","232.819","3"
"Colombia","1990","Women","Total coverage","Labour force survey","# 2","Unemployed","258.788","3"
"Colombia","1990","Women","Total coverage","Labour force survey","# 2","First job seekers","68.919","3"
"Colombia","1990","Women","Total coverage","Labour force survey","# 2","Previously employed","189.869","3"
"Colombia","1990","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","10.2","3"
"Colombia","1990","Rates, men","Total coverage","Labour force survey","# 2","Unemployed","8.1","3"
"Colombia","1990","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","13.2","3"
"Colombia","1989","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","262.248","3"
"Colombia","1989","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","94.288","3"
"Colombia","1989","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","356.536","3"
"Colombia","1989","Men","Total coverage","Labour force survey","# 2","Unemployed","159.445","3"
"Colombia","1989","Men","Total coverage","Labour force survey","# 2","First job seekers","35.466","3"
"Colombia","1989","Men","Total coverage","Labour force survey","# 2","Previously employed","123.979","3"
"Colombia","1989","Women","Total coverage","Labour force survey","# 2","Previously employed","138.269","3"
"Colombia","1989","Women","Total coverage","Labour force survey","# 2","First job seekers","58.822","3"
"Colombia","1989","Women","Total coverage","Labour force survey","# 2","Unemployed","197.091","3"
"Colombia","1989","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","8.9","3"
"Colombia","1989","Rates, men","Total coverage","Labour force survey","# 2","Unemployed","6.8","3"
"Colombia","1989","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","11.8","3"
"Colombia","1988","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","403.044","3"
"Colombia","1988","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","111.776","3"
"Colombia","1988","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","291.268","3"
"Colombia","1988","Men","Total coverage","Labour force survey","# 2","Previously employed","132.04","3"
"Colombia","1988","Men","Total coverage","Labour force survey","# 2","First job seekers","43.467","3"
"Colombia","1988","Men","Total coverage","Labour force survey","# 2","Unemployed","175.507","3"
"Colombia","1988","Women","Total coverage","Labour force survey","# 2","Unemployed","227.537","3"
"Colombia","1988","Women","Total coverage","Labour force survey","# 2","First job seekers","68.309","3"
"Colombia","1988","Women","Total coverage","Labour force survey","# 2","Previously employed","159.228","3"
"Colombia","1988","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","10.1","3"
"Colombia","1987","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","429.021","3"
"Colombia","1987","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","307.384","3"
"Colombia","1987","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","121.637","3"
"Colombia","1987","Men","Total coverage","Labour force survey","# 2","First job seekers","44.717","3"
"Colombia","1987","Men","Total coverage","Labour force survey","# 2","Previously employed","145.97","3"
"Colombia","1987","Men","Total coverage","Labour force survey","# 2","Unemployed","190.687","3"
"Colombia","1987","Women","Total coverage","Labour force survey","# 2","Unemployed","238.334","3"
"Colombia","1987","Women","Total coverage","Labour force survey","# 2","Previously employed","161.414","3"
"Colombia","1987","Women","Total coverage","Labour force survey","# 2","First job seekers","76.92","3"
"Colombia","1987","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","11.1","3"
"Colombia","1987","Rates, men","Total coverage","Labour force survey","# 2","Unemployed","8.4","3"
"Colombia","1987","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","14.8","3"
"Colombia","1986","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","482.837","3"
"Colombia","1986","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","148.488","3"
"Colombia","1986","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","334.349","3"
"Colombia","1986","Men","Total coverage","Labour force survey","# 2","Previously employed","164.855","3"
"Colombia","1986","Men","Total coverage","Labour force survey","# 2","First job seekers","56.19","3"
"Colombia","1986","Men","Total coverage","Labour force survey","# 2","Unemployed","221.045","3"
"Colombia","1986","Women","Total coverage","Labour force survey","# 2","Unemployed","261.792","3"
"Colombia","1986","Women","Total coverage","Labour force survey","# 2","First job seekers","92.298","3"
"Colombia","1986","Women","Total coverage","Labour force survey","# 2","Previously employed","169.494","3"
"Colombia","1986","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","13","3"
"Colombia","1986","Rates, men","Total coverage","Labour force survey","# 2","Unemployed","10","3"
"Colombia","1986","Rates, women","Total coverage","Labour force survey","# 2","Unemployed","17.2","3"
"Colombia","1985","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","499.921","3"
"Colombia","1985","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","354.544","3"
"Colombia","1985","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","145.377","3"
"Colombia","1985","Men","Total coverage","Labour force survey","# 2","First job seekers","59.247","3"
"Colombia","1985","Men","Total coverage","Labour force survey","# 2","Previously employed","169.45","3"
"Colombia","1985","Men","Total coverage","Labour force survey","# 2","Unemployed","228.697","3"
"Colombia","1985","Women","Total coverage","Labour force survey","# 2","Unemployed","271.224","3"
"Colombia","1985","Women","Total coverage","Labour force survey","# 2","Previously employed","185.094","3"
"Colombia","1985","Women","Total coverage","Labour force survey","# 2","First job seekers","86.13","3"
"Colombia","1985","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","14","3"
"Colombia","1984","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","463.214","3"
"Colombia","1984","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","133.486","3"
"Colombia","1984","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","329.728","3"
"Colombia","1984","Men","Total coverage","Labour force survey","# 2","Previously employed","176.663","3"
"Colombia","1984","Men","Total coverage","Labour force survey","# 2","First job seekers","53.86","3"
"Colombia","1984","Men","Total coverage","Labour force survey","# 2","Unemployed","230.523","3"
"Colombia","1984","Women","Total coverage","Labour force survey","# 2","Unemployed","232.691","3"
"Colombia","1984","Women","Total coverage","Labour force survey","# 2","First job seekers","79.626","3"
"Colombia","1984","Women","Total coverage","Labour force survey","# 2","Previously employed","153.065","3"
"Colombia","1984","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","13.1","3"
"Colombia","1983","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","377.014","3"
"Colombia","1983","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","106.389","3"
"Colombia","1983","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","270.625","3"
"Colombia","1983","Men","Total coverage","Labour force survey","# 2","Previously employed","144.533","3"
"Colombia","1983","Men","Total coverage","Labour force survey","# 2","First job seekers","41.587","3"
"Colombia","1983","Men","Total coverage","Labour force survey","# 2","Unemployed","186.12","3"
"Colombia","1983","Women","Total coverage","Labour force survey","# 2","Unemployed","190.894","3"
"Colombia","1983","Women","Total coverage","Labour force survey","# 2","First job seekers","64.802","3"
"Colombia","1983","Women","Total coverage","Labour force survey","# 2","Previously employed","126.092","3"
"Colombia","1983","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","11.1","3"
"Colombia","1982","Total men and women","Total coverage","Labour force survey","# 2","Previously employed","291.409","3"
"Colombia","1982","Total men and women","Total coverage","Labour force survey","# 2","Unemployed","375.817","3"
"Colombia","1982","Total men and women","Total coverage","Labour force survey","# 2","First job seekers","84.408","3"
"Colombia","1982","Rates, total","Total coverage","Labour force survey","# 2","Unemployed","9.1","3"
"Colombia","1982","Men","Total coverage","Labour force survey","# 2","Previously employed","144.533","3"
"Colombia","1982","Men","Total coverage","Labour force survey","# 2","First job seekers","41.587","3"
"Colombia","1982","Men","Total coverage","Labour force survey","# 2","Unemployed","186.12","3"
"Colombia","1982","Women","Total coverage","Labour force survey","# 2","Unemployed","190.894","3"
"Colombia","1982","Women","Total coverage","Labour force survey","# 2","First job seekers","64.802","3"
